date,close,volume,open,high,low,symbol
2023-09-21,45.62,19540760,46.51,46.93,45.27,SQ
2023-09-20,47.57,15313470,49.99,50.06,47.52,SQ
2023-09-19,49.8,17981670,49.94,50.63,49.37,SQ
2023-09-18,51.25,11564040,52.81,52.81,51.24,SQ
2023-09-15,52.83,11915070,53.68,54.08,52.26,SQ
2023-09-14,53.85,8089954,54.61,54.73,53.57,SQ
2023-09-13,54.15,5735346,54.075,54.58,53.61,SQ
2023-09-12,54.33,10233080,53.785,55.7291,53.65,SQ
2023-09-11,53.94,10420040,53.955,55.2,53.2701,SQ
2023-09-08,53.08,20720750,56.0,56.0,52.78,SQ
2023-09-07,56.04,9075765,56.22,56.5,55.14,SQ
2023-09-06,57.64,10491580,57.68,59.72,57.49,SQ
2023-09-05,58.74,5987049,58.16,59.195,57.785,SQ
2023-09-01,58.17,5752348,58.39,59.04,57.85,SQ
2023-08-31,57.65,7392938,57.8,58.5,57.17,SQ
2023-08-30,57.72,6813238,57.33,58.21,56.98,SQ
2023-08-29,57.76,7329804,55.57,57.9,55.46,SQ
2023-08-28,55.87,5333590,56.01,56.45,55.26,SQ
2023-08-25,55.86,7741021,55.4,56.63,54.97,SQ
2023-08-24,55.63,7952746,57.57,57.57,55.31,SQ
2023-08-23,57.22,12207270,56.3,57.4,55.9,SQ
2023-08-22,56.07,10503850,57.81,58.0002,55.63,SQ
2023-08-21,57.56,9422938,56.84,57.56,55.99,SQ
2023-08-18,56.88,9841116,55.03,57.27,54.725,SQ
2023-08-17,56.1,10195220,57.07,57.52,56.08,SQ
2023-08-16,57.49,8309160,58.14,58.95,57.44,SQ
2023-08-15,58.36,9501060,60.09,60.36,58.13,SQ
2023-08-14,60.15,7408116,60.06,60.49,59.64,SQ
2023-08-11,60.57,7740658,61.6,62.36,60.53,SQ
2023-08-10,62.24,8642458,63.06,64.26,61.81,SQ
2023-08-09,62.71,12169230,63.63,64.5467,62.41,SQ
2023-08-08,62.38,11439270,62.8,63.58,62.32,SQ
2023-08-07,64.01,16331220,64.16,65.15,63.28,SQ
